city,county,county_fips,place_fips,metro_status,cbsa_type,population,property_tax,gen_sales_tax,total_taxes,tax_per_capita,lt_debt_os,st_debt_os,total_debt_os,debt_per_capita,sales_tax_rate,taxable_sales,taxable_sales_per_capita,business_outlets,sales_tax_alloc_2019,sales_tax_alloc_2023,salestax_growth_19_23_pct
HOUSTON,Harris,48201,35000,Metro,Metropolitan,2316120,1600416000.0,836905000.0,2865310000.0,1237.1163842978774,12757985000.0,353000000.0,13110985000.0,5660.753760599623,1.0,166330315878.0,71814.20473809647,770200.0,698992967.52,892880233.02,27.738085289742543
SAN ANTONIO,Bexar,48029,65000,Metro,Metropolitan,1567118,644788000.0,441119000.0,1244258000.0,793.9785006617243,11292160000.0,660000000.0,11952160000.0,7626.841118537341,1.25,60748239348.0,38764.304505468,337952.0,370289322.06,479106605.11,29.38709721485508
DALLAS,Dallas,48113,19000,Metro,Metropolitan,1343266,1253000000.0,355065000.0,1784376000.0,1328.3861870992046,11122228000.0,541956000.0,11664184000.0,8683.450634498306,1.0,71625283487.0,53321.74229601583,358810.0,315186747.07,426748145.89,35.39533303893113
AUSTIN,Travis,48453,05000,Metro,Metropolitan,995484,937352000.0,277450000.0,1498299000.0,1505.0960135974058,7435662000.0,0.0,7435662000.0,7469.393782320962,1.0,61921738221.0,62202.64536747954,351244.0,240562978.15,346506960.34,44.04001937652266
FORT WORTH,Tarrant,48439,27000,Metro,Metropolitan,927720,574677000.0,277954000.0,948649000.0,1022.5596085025654,2561392000.0,0.0,2561392000.0,2760.953736041047,1.0,30136313186.0,32484.276706333807,190802.0,165687272.93,231940150.33,39.98670279761964
EL PASO,El Paso,48141,24000,Metro,Metropolitan,681534,344586000.0,166706000.0,627529000.0,920.7596392843203,2388378000.0,80001000.0,2468379000.0,3621.7987657255544,1.0,19550326568.0,28685.768528055825,140766.0,95909986.77,132615536.32,38.27083162676574
ARLINGTON,Tarrant,48439,04000,Metro,Metropolitan,398864,171237000.0,146404000.0,375140000.0,940.5210798668218,2378665000.0,0.0,2378665000.0,5963.599121505074,2.0,13840269830.0,34699.220360824744,87920.0,120966238.7,192752362.65,59.343933250691386
CORPUS CHRISTI,Nueces,48355,17000,Metro,Metropolitan,327248,141457000.0,96586000.0,283952000.0,867.6966704150981,1498132000.0,0.0,1498132000.0,4577.971446731531,1.375,10574215584.0,32312.5445655894,74600.0,82124576.5,97338773.22,18.525753639654994
PLANO,Collin,48085,58016,Metro,Metropolitan,291296,209887000.0,97477000.0,365606000.0,1255.1013402175108,380630000.0,4800000.0,385430000.0,1323.1558277490938,1.0,16586962834.0,56941.95194578711,88304.0,88612905.55,113984728.8,28.63219876667276
LAREDO,Webb,48479,41464,Metro,Metropolitan,263640,99697000.0,67083000.0,194029000.0,735.9619177666515,873739000.0,0.0,873739000.0,3314.136701562737,1.25,6521151629.0,24735.061557426794,58078.0,43895769.71,61460117.23,40.01375903883198
